Date,Site,ENT,EC,MSC,So,ENT_m,HF183,HumM2,GenBac,EC_m,BFD,CrA
5/22/2019,FL,10.0,10.0,0.2,0.1,85.7,27.6,51.0,11.9,60.5,33.3,116.7
5/23/2019,FL,10.0,10.0,0.1,0.1,22.2,27.6,51.0,102.2,60.5,13.3,116.7
5/24/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,22.2,60.5,33.3,116.7
5/27/2019,FL,10.0,333.0,0.1,0.2,85.7,27.6,51.0,57.8,60.5,26.7,116.7
5/28/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,28.9,60.5,33.3,116.7
5/29/2019,FL,10.0,20.0,0.1,0.1,85.7,27.6,51.0,37.8,60.5,13.3,116.7
5/30/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,28.9,60.5,33.3,116.7
6/3/2019,FL,578.0,487.0,0.1,0.1,85.7,27.6,51.0,246.7,60.5,35.6,116.7
6/4/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,55.6,60.5,31.1,116.7
6/5/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,277.8,60.5,57.8,116.7
6/7/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,86.7,60.5,24.4,116.7
6/10/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,24.4,60.5,28.9,22.2
6/11/2019,FL,20.0,20.0,0.1,0.5,85.7,27.6,51.0,164.4,60.5,108.9,116.7
6/12/2019,FL,10.0,10.0,0.1,0.1,31.1,27.6,51.0,55.6,60.5,40.0,116.7
6/13/2019,FL,10.0,10.0,0.1,0.1,13.3,27.6,51.0,24.4,60.5,33.3,13.3
6/14/2019,FL,10.0,20.0,0.1,0.1,13.3,27.6,51.0,28.9,60.5,33.3,116.7
6/17/2019,FL,10.0,10.0,0.1,0.1,43.3,27.6,51.0,50.0,60.5,40.0,116.7
6/18/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,733.3,60.5,33.3,116.7
6/19/2019,FL,10.0,20.0,0.1,0.1,85.7,27.6,51.0,70.0,60.5,33.3,116.7
6/20/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,416.7,60.5,30.0,116.7
6/24/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,63.3,60.5,33.3,43.3
6/25/2019,FL,10.0,31.0,0.1,0.1,43.3,27.6,51.0,220.0,60.5,40.0,300.0
6/26/2019,FL,10.0,10.0,0.1,0.1,56.7,27.6,51.0,1500.0,60.5,293.3,116.7
6/27/2019,FL,20.0,10.0,0.1,0.1,85.7,27.6,51.0,23.3,20.0,33.3,116.7
6/28/2019,FL,10.0,20.0,0.1,0.1,85.7,27.6,51.0,183.3,60.5,63.3,116.7
7/1/2019,FL,10.0,30.0,0.1,0.1,83.3,27.6,51.0,1900.0,0.0,1700.0,116.7
7/2/2019,FL,10.0,10.0,0.1,0.1,85.7,27.6,51.0,63.3,60.5,30.0,116.7
7/3/2019,FL,10.0,41.0,0.1,0.1,56.7,27.6,51.0,256.7,60.5,83.3,116.7
7/4/2019,FL,10.0,420.0,0.1,0.2,43.3,27.6,51.0,490.0,60.5,116.7,30.0
7/5/2019,FL,10.0,52.0,0.1,1.9,33.3,27.6,51.0,160.0,60.5,33.3,116.7
7/9/2019,FL,10.0,41.0,0.1,0.1,180.0,27.6,51.0,90.0,60.5,40.0,30.0
